Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression Non-resistant	Expression Resistant	qValue Non-resistant vs Resistant
2566892	2566892	2566350	2566350	-	nuoI	EcE24377A_2574	NADH dehydrogenase subunit I	153	0	0.0
	2567884	2566907		-	nuoH	EcE24377A_2575	NADH dehydrogenase subunit H	0	0	1.0
	2570607	2567881		-	nuoG	EcE24377A_2576	NADH dehydrogenase subunit G	15	0	0.0
	2571997	2570660		-	nuoF	EcE24377A_2577	NADH dehydrogenase I subunit F	0	0	1.0
	2572494	2571994		-	nuoE	EcE24377A_2578	NADH dehydrogenase subunit E	0	0	1.0
2574299	2574299	2572497	2572497	-	nuoC	EcE24377A_2579	bifunctional NADH:ubiquinone oxidoreductase subunit C/D	115	0	0.0
2575055	2575055	2574393	2574393	-	nuoB	EcE24377A_2580	NADH dehydrogenase subunit B	53	0	0.0
2575070			2575056	-	-	predicted RNA	-	555	0	0.0
2563759			2563908	+	-	predicted RNA	antisense: nuoL	277	0	0.0
2564201			2578002	+	-	predicted RNA	antisense: nuoC nuoB nuoA nuoG nuoF lrhA nuoE nuoK nuoJ nuoI nuoH nuoL	24	0	1.0
2575514	2575514	2575071		-	nuoA	EcE24377A_2581	NADH dehydrogenase subunit A	88	0	1.0
	2577083	2576145		-	lrhA	EcE24377A_2582	transcriptional regulator LrhA	0	0	1.0
	2578003	2579220		+	-	EcE24377A_2583	aminotransferase	0	0	1.0
	2579304	2579903		+	yfbR	EcE24377A_2584	hypothetical protein	0	0	1.0
	2581794	2579962		-	-	EcE24377A_2585	transporter	22	54	1.0
2580169			2580267	+	-	predicted RNA	antisense: EcE24377A_2585	0	1000	1.0
2581397			2581604	+	-	predicted RNA	antisense: EcE24377A_2585	399	0	0.0
	2582531	2581881		-	yfbT	EcE24377A_2586	phosphatase	0	0	1.0
	2583036	2582542		-	-	EcE24377A_2587	hypothetical protein	0	0	1.0
	2583574	2583119		-	-	EcE24377A_2588	hypothetical protein	0	0	1.0
	2583774	2583643		-	-	EcE24377A_2589	hypothetical protein	0	0	1.0
	2583912	2585114		+	ackA	EcE24377A_2590	acetate kinase	0	0	1.0
	2585189	2587333		+	-	EcE24377A_2591	phosphate acetyltransferase	0	0	1.0
	2587502	2589043		+	-	EcE24377A_2592	hypothetical protein	0	0	1.0
	2589618	2589076		-	-	EcE24377A_2593	NUDIX family hydrolase	0	0	1.0
	2590227	2589676		-	-	EcE24377A_2594	phosphodiesterase	0	0	1.0
2590936	2590927	2590283	2590283	-	-	EcE24377A_2595	glutathione S-transferase domain-containing protein	0	141	0.0
2590535			2590634	+	-	predicted RNA	antisense: EcE24377A_2595	0	1000	1.0
	2591063	2591710		+	-	EcE24377A_2596	glutathione S-transferase	0	0	1.0
	2591767	2592129		+	folX	EcE24377A_2597	D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase	0	0	1.0
	2592150	2593043		+	-	EcE24377A_2598	NAD-binding domain-containing protein	0	0	1.0
	2593981	2593091		-	-	EcE24377A_2599	hypothetical protein	0	0	1.0
	2594951	2594178		-	hisP	EcE24377A_2600	histidine/lysine/arginine/ornithine transporter subunit	0	0	1.0
	2595675	2594959		-	hisM	EcE24377A_2601	histidine ABC transporter permease HisM	0	0	1.0
	2596358	2595672		-	hisQ	EcE24377A_2602	histidine ABC transporter permease HisQ	0	0	1.0
	2597230	2596448		-	hisJ	EcE24377A_2603	histidine ABC transporter periplasmic histidine-binding protein	0	0	1.0
	2598233	2597451		-	argT	EcE24377A_2604	lysine-arginine-ornithine-binding periplasmic protein	0	0	1.0
	2599068	2598499		-	ubiX	EcE24377A_2605	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	0	0	1.0
	2600680	2599163		-	purF	EcE24377A_2606	amidophosphoribosyltransferase	0	0	1.0
	2601205	2600717		-	cvpA	EcE24377A_2607	colicin V production protein	0	0	1.0
	2602126	2601464		-	-	EcE24377A_2608	hypothetical protein	0	0	1.0
	2603384	2602116		-	folC	EcE24377A_2609	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase	0	0	1.0
2602221			2602319	+	-	predicted RNA	antisense: folC	0	1000	1.0
	2604368	2603454		-	accD	EcE24377A_2610	acetyl-CoA carboxylase subunit beta	0	0	1.0
	2605183	2604524		-	-	EcE24377A_2611	hypothetical protein	0	0	1.0
	2606078	2605266	2605266	-	truA	EcE24377A_2612	tRNA pseudouridine synthase A	0	123	1.0
2605389			2605488	+	-	predicted RNA	antisense: truA	0	1000	1.0
	2607091	2606078		-	-	EcE24377A_2613	semialdehyde dehydrogenase	0	0	1.0
	2607072	2607185		+	-	EcE24377A_2615	hypothetical protein	0	0	1.0
	2608293	2607157		-	pdxB	EcE24377A_2614	erythronate-4-phosphate dehydrogenase	0	0	1.0
	2608393	2609397		+	flk	EcE24377A_2617	flagella biosynthesis regulator	0	0	1.0
	2610572	2609394		-	-	EcE24377A_2616	hypothetical protein	0	0	1.0
	2612024	2610804		-	fabB	EcE24377A_2618	3-oxoacyl-ACP synthase	0	0	1.0
	2612183	2614189		+	mnmC	EcE24377A_2619	5-methylaminomethyl-2-thiouridine methyltransferase	0	0	1.0
	2614523	2614245		-	-	EcE24377A_2620	hypothetical protein	0	0	1.0
	2615105	2614557		-	-	EcE24377A_2621	hypothetical protein	0	0	1.0
	2615914	2615105		-	-	EcE24377A_2622	hypothetical protein	0	0	1.0
	2616738	2615914		-	mepA	EcE24377A_2623	penicillin-insensitive murein endopeptidase	0	0	1.0
	2617827	2616742		-	aroC	EcE24377A_2624	chorismate synthase	0	0	1.0
	2618918	2617986		-	prmB	EcE24377A_2625	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase	0	0	1.0
	2619084	2619635		+	-	EcE24377A_2626	hypothetical protein	0	0	1.0
	2620577	2619708		-	-	EcE24377A_2627	hypothetical protein	0	0	1.0
	2621103	2620564		-	-	EcE24377A_2628	fimbrial protein	0	0	1.0
	2621588	2621100		-	-	EcE24377A_2629	hypothetical protein	0	0	1.0
	2622088	2621585		-	-	EcE24377A_2630	fimbrial protein	0	0	1.0
	2622829	2622104		-	-	EcE24377A_2631	periplasmic pilus chaperone family protein	0	0	1.0
	2622702	2622890		+	-	EcE24377A_2633	hypothetical protein	0	0	1.0
	2625521	2622876		-	-	EcE24377A_2632	fimbrial usher family protein	0	0	1.0
	2625510	2626046		+	-	EcE24377A_2635	hypothetical protein	0	0	1.0
	2626166	2625603		-	-	EcE24377A_2634	fimbrial protein	0	0	1.0
	2627335	2626850		-	sixA	EcE24377A_2636	phosphohistidine phosphatase	0	0	1.0
	2629682	2627538		-	fadJ	EcE24377A_2637	multifunctional fatty acid oxidation complex subunit alpha	0	0	1.0
2628442			2628541	+	-	predicted RNA	antisense: fadJ	0	1000	1.0
	2630992	2629682		-	fadI	EcE24377A_2638	3-ketoacyl-CoA thiolase	0	0	1.0
	2631456	2631172		-	-	EcE24377A_2639	hypothetical protein	0	0	1.0
	2631828	2633168		+	-	EcE24377A_2640	long-chain fatty acid outer membrane transporter	0	0	1.0
	2633535	2634593		+	-	EcE24377A_2641	hypothetical protein	0	0	1.0
	2635530	2634775		-	-	EcE24377A_2642	VacJ family lipoprotein	0	0	1.0
	2635726	2635556		-	-	EcE24377A_2643	hypothetical protein	0	0	1.0
	2635824	2636756		+	-	EcE24377A_2644	hypothetical protein	0	0	1.0
2636738			2636639	-	-	predicted RNA	antisense: EcE24377A_2644	0	1000	1.0
2636832			2636906	+	-	EcE24377A_5046	Arg tRNA	0	0	1.0
	2638594	2637347		-	lacY	EcE24377A_2646	galactoside permease	0	0	1.0
	2639580	2638666		-	cscK	EcE24377A_2647	aminoimidazole riboside kinase	0	0	1.0
	2639702	2639794		+	-	EcE24377A_2648	hypothetical protein	0	0	1.0
	2639787	2641229		+	-	EcE24377A_2649	sucrose-6-phosphate hydrolase	0	0	1.0
	2642232	2641237		-	-	EcE24377A_2650	LacI family sucrose operon repressor	0	0	1.0
	2642475	2642693		+	-	EcE24377A_2651	hypothetical protein	0	0	1.0
	2642711	2644039		+	dsdA	EcE24377A_2652	D-serine dehydratase	0	0	1.0
	2645685	2644147		-	emrY	EcE24377A_2653	DHA2 family drug:H+ antiporter-1	0	0	1.0
	2646848	2645685		-	emrK	EcE24377A_2654	drug resistance MFS transporter membrane fusion protein (MFP) subunit EmrK	0	0	1.0
	2647264	2647878		+	evgA	EcE24377A_2655	DNA-binding transcriptional activator EvgA	0	0	1.0
	2647883	2651476		+	evgS	EcE24377A_2657	hybrid sensory histidine kinase in two-component regulatory system with EvgA	0	55	0.0
2649728			2649629	-	-	predicted RNA	antisense: evgS	0	1000	1.0
2650967			2650868	-	-	predicted RNA	antisense: evgS	0	1000	1.0
	2651350	2651252		-	-	EcE24377A_2656	hypothetical protein	0	0	1.0
	2652677	2651532		-	-	EcE24377A_2658	hypothetical protein	0	0	1.0
	2652671	2652775		+	-	EcE24377A_2660	hypothetical protein	0	0	1.0
	2653695	2652751		-	-	EcE24377A_2659	transporter YfdV	0	0	1.0
	2655459	2653765		-	-	EcE24377A_2661	oxalyl-CoA decarboxylase	0	0	1.0
2655512			2655484	-	-	predicted RNA	-	0	1000	0.0
	2656763	2655513		-	frc	EcE24377A_2662	formyl-coenzyme A transferase	0	56	0.0
	2657908	2657276		-	-	EcE24377A_2663	hypothetical protein	0	0	1.0
2658052			2657953	-	-	predicted RNA	-	0	1000	1.0
2655234			2655333	+	-	predicted RNA	antisense: EcE24377A_2661	0	1000	1.0
2657691			2657787	+	-	predicted RNA	antisense: EcE24377A_2663	0	1000	0.0
	2658601	2658464		-	-	EcE24377A_2664	hypothetical protein	0	0	1.0
	2658798	2658556		-	-	EcE24377A_2665	hypothetical protein	0	0	1.0
	2659151	2660071		+	-	EcE24377A_2666	lipid A biosynthesis palmitoleoyl acyltransferase	0	0	1.0
	2660381	2660497		+	-	EcE24377A_2667	hypothetical protein	0	0	1.0
	2661800	2660562		-	-	EcE24377A_2668	aminotransferase	0	0	1.0
	2661853	2661719		-	-	EcE24377A_2669	hypothetical protein	0	0	1.0
	2662195	2663874		+	-	EcE24377A_2670	sensor histidine kinase	0	0	1.0
	2663889	2664623		+	-	EcE24377A_2671	response regulator	0	0	1.0
2664636	2664636	2665493	2665493	+	-	EcE24377A_2672	AraC family transcriptional regulator	0	116	1.0
2664980			2664881	-	-	predicted RNA	antisense: EcE24377A_2672	0	1000	1.0
	2667991	2665496		-	fryA	EcE24377A_2673	multiphosphoryl transfer protein 1	0	0	1.0
	2669053	2668016		-	-	EcE24377A_2674	exoaminopeptidase	0	0	1.0
	2670138	2669053		-	ypdF	EcE24377A_2675	aminopeptidase	0	0	1.0
	2671400	2670153		-	fryC	EcE24377A_2676	PTS system fructose-like transporter subunit IIC	0	0	1.0
	2671748	2671422		-	-	EcE24377A_2677	PTS system fructose specific transporter subunit IIB subunit	0	0	1.0
2672932	2672932	2671967	2671967	-	glk	EcE24377A_2678	glucokinase	4097	0	1.0
2672423			2672849	+	-	predicted RNA	antisense: glk	8663	0	1.0
	2673136	2674392		+	-	EcE24377A_2679	hypothetical protein	0	0	1.0
	2674507	2674409		-	-	EcE24377A_2680	hypothetical protein	0	0	1.0
	2674507	2674833		+	-	EcE24377A_2681	hypothetical protein	0	0	1.0
	2676212	2674974		-	mntH	EcE24377A_2682	manganese transport protein MntH	0	0	1.0
	2676548	2677750		+	nupC	EcE24377A_2683	nucleoside transporter NupC	0	0	1.0
	2679989	2677800		-	-	EcE24377A_2684	diguanylate cyclase	0	44	0.0
2679464			2679563	+	-	predicted RNA	antisense: EcE24377A_2684	0	1000	1.0
2680272			2680197	-	-	EcE24377A_5047	Ala tRNA	0	0	1.0
2680387			2680312	-	-	EcE24377A_5048	Ala tRNA	0	0	1.0
	2680623	2680967		+	-	EcE24377A_2687	hypothetical protein	0	0	1.0
	2680969	2681361		+	-	EcE24377A_2688	hypothetical protein	0	0	1.0
	2682828	2681413		-	gltX	EcE24377A_2689	glutamyl-tRNA synthetase	0	0	1.0
2683087			2683162	+	-	EcE24377A_5049	Val tRNA	0	0	1.0
2683207			2683282	+	-	EcE24377A_5050	Val tRNA	0	0	1.0
2683329			2683404	+	-	EcE24377A_5051	Val tRNA	0	0	1.0
2683409			2683484	+	-	EcE24377A_5052	Lys tRNA	0	0	1.0
	2683605	2683946		+	-	EcE24377A_2695	hypothetical protein	0	0	1.0
	2684863	2683937		-	-	EcE24377A_2694	LysR family transcriptional regulator	0	0	1.0
	2684953	2685951		+	-	EcE24377A_2697	bile acid/Na+ symporter family protein	0	0	1.0
	2686166	2685948		-	-	EcE24377A_2696	hypothetical protein	0	0	1.0
	2688183	2686168		-	ligA	EcE24377A_2698	NAD-dependent DNA ligase LigA	0	49	1.0
2687390			2687489	+	-	predicted RNA	antisense: ligA	0	1000	1.0
	2689240	2688254		-	zipA	EcE24377A_2699	cell division protein ZipA	0	0	1.0
	2689470	2690231		+	cysZ	EcE24377A_2700	sulfate transport protein CysZ	0	0	1.0
	2690416	2691387		+	cysK	EcE24377A_2701	cysteine synthase A	0	0	1.0
2691527			2691676	+	-	predicted RNA	-	555	0	0.0
	2691771	2692028		+	ptsH	EcE24377A_2702	PTS system phosphohistidinoprotein-hexose phosphotransferase Hpr	0	0	1.0
	2692073	2693800		+	ptsI	EcE24377A_2703	phosphoenolpyruvate-protein phosphotransferase	6	0	1.0
2693801			2693840	+	-	predicted RNA	-	277	0	0.0
2691908			2691759	-	-	predicted RNA	antisense: ptsH	555	0	0.0
2693970			2693821	-	-	predicted RNA	antisense: crr	277	0	0.0
	2693841	2694350	2694350	+	crr	EcE24377A_2704	PTS system glucose-specific transporter	38	0	0.0
2695243	2695243	2694392	2694392	-	pdxK	EcE24377A_2705	pyridoxal kinase	0	234	0.0
2694509			2694608	+	-	predicted RNA	antisense: pdxK	0	1000	1.0
	2695348	2695716		+	-	EcE24377A_2706	hypothetical protein	0	0	1.0
	2696630	2695719		-	cysM	EcE24377A_2707	cysteine synthase B	0	0	1.0
2696580			2697037	+	-	predicted RNA	antisense: cysA cysM	33777	0	1.0
	2697861	2696764	2696764	-	cysA	EcE24377A_2708	sulfate/thiosulfate transporter subunit	14974	0	1.0
	2698726	2697851		-	cysW	EcE24377A_2709	sulfate/thiosulfate transporter permease subunit	0	0	1.0
	2699559	2698726		-	cysT	EcE24377A_2710	sulfate/thiosulfate transporter subunit	0	0	1.0
	2700575	2699559		-	cysP	EcE24377A_2711	thiosulfate transporter subunit	0	0	1.0
	2701524	2700733		-	ucpA	EcE24377A_2712	short chain dehydrogenase	0	0	1.0
	2702510	2701653		-	-	EcE24377A_2713	RpiR family transcriptional regulator	0	0	1.0
	2702674	2703570		+	murQ	EcE24377A_2714	N-acetylmuramic acid 6-phosphate etherase	0	0	1.0
	2703574	2704998		+	murP	EcE24377A_2715	PTS system N-acetylmuramic acid transporter subunit IIBC	0	0	1.0
	2705003	2706307		+	-	EcE24377A_2716	hypothetical protein	0	0	1.0
	2707264	2706365		-	-	EcE24377A_2717	dyp-type peroxidase	0	0	1.0
	2707935	2707360		-	-	EcE24377A_2718	hypothetical protein	0	0	1.0
	2708445	2707996		-	-	EcE24377A_2719	inner membrane protein YfeZ	0	0	1.0
	2708857	2708432		-	-	EcE24377A_2720	acetyltransferase	0	0	1.0
	2709071	2709940		+	amiA	EcE24377A_2721	N-acetylmuramoyl-L-alanine amidase	0	0	1.0
	2709944	2710843		+	hemF	EcE24377A_2722	coproporphyrinogen III oxidase	0	0	1.0
	2711901	2710849		-	-	EcE24377A_2723	transcriptional regulator EutR	0	0	1.0
	2712447	2711947		-	-	EcE24377A_2724	ethanolamine utilization protein EutK	0	0	1.0
	2713119	2712460		-	-	EcE24377A_2725	ethanolamine utilization protein EutL	0	0	1.0
	2714016	2713129		-	eutC	EcE24377A_2726	ethanolamine ammonia-lyase small subunit	0	0	1.0
	2715398	2714037		-	eutB	EcE24377A_2727	ethanolamine ammonia-lyase, large subunit	0	0	1.0
	2716813	2715410		-	eutA	EcE24377A_2728	reactivating factor for ethanolamine ammonia lyase	0	0	1.0
	2718036	2716810		-	eutH	EcE24377A_2729	ethanolamine utilization protein EutH	0	0	1.0
	2719340	2718153		-	eutG	EcE24377A_2730	ethanolamine utilization protein EutG	0	0	1.0
	2720166	2719330		-	eutJ	EcE24377A_2731	ethanolamine utilization protein EutJ	0	0	1.0
	2721580	2720177		-	eutE	EcE24377A_2732	ethanolamine utilization protein EutE	0	0	1.0
	2721879	2721592		-	eutN	EcE24377A_2733	ethanolamine utilization protein	0	0	1.0
	2722279	2721986		-	eutM	EcE24377A_2734	ethanolamine utilization protein EutM	0	0	1.0
	2723334	2722318		-	eutD	EcE24377A_2735	phosphotransacetylase	0	0	1.0
	2724134	2723331		-	eutT	EcE24377A_2736	ethanolamine utilization cobalamin adenosyltransferase	0	0	1.0
	2724832	2724131		-	-	EcE24377A_2737	ethanolamine utilization protein EutQ	0	0	1.0
	2725286	2724807		-	eutP	EcE24377A_2738	ethanolamine utilization protein, EutP	0	0	1.0
	2725706	2725299		-	-	EcE24377A_2739	ethanolamine utilization protein EutS	0	0	1.0
	2725563	2725670		+	-	EcE24377A_2740	hypothetical protein	0	0	1.0
	2728206	2725927		-	maeB	EcE24377A_2741	malic enzyme	0	0	1.0
	2728495	2729445		+	tal1	EcE24377A_2742	transaldolase A	0	0	1.0
	2729465	2731468		+	tktB	EcE24377A_2743	transketolase	0	0	1.0
	2731461	2731574		+	-	EcE24377A_2745	hypothetical protein	0	0	1.0
	2732607	2731564		-	-	EcE24377A_2744	hypothetical protein	0	0	1.0
2732508			2732607	+	-	predicted RNA	antisense: EcE24377A_2744	0	1000	1.0
	2733308	2732733		-	-	EcE24377A_2746	NUDIX family hydrolase	0	0	1.0
	2735355	2733376		-	aegA	EcE24377A_2747	oxidoreductase Fe-S binding subunit	0	0	1.0
	2735561	2737261		+	narQ	EcE24377A_2748	nitrate/nitrite sensor protein NarQ	0	0	1.0
	2737425	2740538		+	acrD	EcE24377A_2749	aminoglycoside/multidrug efflux system	0	0	1.0
2740780			2740879	+	-	predicted RNA	-	0	1000	1.0
2741169			2741070	-	-	predicted RNA	antisense: EcE24377A_2750	0	1000	1.0
	2741077	2741433		+	-	EcE24377A_2750	hypothetical protein	0	0	1.0
	2741437	2742564		+	dapE	EcE24377A_2751	succinyl-diaminopimelate desuccinylase	0	0	1.0
	2742592	2742792		+	-	EcE24377A_2752	hypothetical protein	0	0	1.0
	2743571	2742873		-	-	EcE24377A_2753	esterase	0	0	1.0
	2745660	2743645		-	-	EcE24377A_2754	hypothetical protein	0	0	1.0
	2746538	2745675		-	-	EcE24377A_2755	hypothetical protein	0	0	1.0
	2747310	2747083		-	-	EcE24377A_2756	hypothetical protein	0	0	1.0
	2748177	2747464		-	purC	EcE24377A_2757	phosphoribosylaminoimidazole-succinocarboxamide synthase	0	0	1.0
	2748290	2748183		-	-	EcE24377A_2758	hypothetical protein	0	0	1.0
	2749424	2748390		-	-	EcE24377A_2759	lipoprotein	0	0	1.0
	2750319	2749441		-	dapA	EcE24377A_2760	dihydrodipicolinate synthase	0	0	1.0
	2750399	2751037		+	gcvR	EcE24377A_2761	glycine cleavage system transcriptional repressor	0	0	1.0
	2751037	2751507		+	bcp	EcE24377A_2762	thioredoxin-dependent thiol peroxidase	0	0	1.0
	2751760	2752377		+	-	EcE24377A_2763	(Fe-S)-binding protein	0	0	1.0
	2754405	2755349		+	hyfC	EcE24377A_2765	hydrogenase-4 subunit C	0	102	0.0
2754817			2754718	-	-	predicted RNA	antisense: hyfC	0	1000	1.0
	2756607	2757257		+	hyfE	EcE24377A_2767	hydrogenase 4 membrane subunit	0	0	1.0
	2758838	2760553		+	-	EcE24377A_2769	hydrogenase-4, G subunit	0	0	1.0
	2760563	2761108		+	-	EcE24377A_2770	hydrogenase 4 subunit H	0	0	1.0
	2761105	2761863		+	-	EcE24377A_2771	hydrogenase-4, I subunit	0	0	1.0
	2761856	2762269		+	-	EcE24377A_2772	formate hydrogenlyase maturation protein HycH	0	0	1.0
	2762299	2764311		+	-	EcE24377A_2773	formate hydrogenlyase transcriptional activator	0	0	1.0
	2764333	2765181		+	focB	EcE24377A_2774	formate transporter	0	0	1.0
	2766280	2765219		-	-	EcE24377A_2775	PerM family permease	0	0	1.0
	2766493	2767956		+	-	EcE24377A_2776	M48 family peptidase	0	0	1.0
	2768460	2768350		-	-	EcE24377A_2778	hypothetical protein	0	0	1.0
	2769219	2768473		-	hda	EcE24377A_2779	DNA replication initiation factor	0	0	1.0
	2770558	2769269		-	uraA	EcE24377A_2780	uracil transporter	0	0	1.0
2769689			2769788	+	-	predicted RNA	antisense: uraA	0	1000	1.0
2770634			2770733	+	-	predicted RNA	antisense: upp	0	1000	1.0
2771270	2771270	2770644	2770644	-	upp	EcE24377A_2781	uracil phosphoribosyltransferase	0	159	1.0
	2771595	2772632		+	purM	EcE24377A_2782	phosphoribosylaminoimidazole synthetase	0	0	1.0
	2772632	2773270		+	purN	EcE24377A_2783	phosphoribosylglycinamide formyltransferase	0	0	1.0
	2773441	2775507		+	ppk	EcE24377A_2784	polyphosphate kinase	0	0	1.0
	2775512	2777053		+	ppx	EcE24377A_2785	exopolyphosphatase	0	0	1.0
2777048			2776899	-	-	predicted RNA	antisense: ppx	277	0	0.0
	2779335	2777092		-	-	EcE24377A_2786	cyclic diguanylate phosphodiesterase domain-containing protein	0	0	1.0
	2779669	2779517		-	-	EcE24377A_2787	hypothetical protein	0	0	1.0
	2779687	2779878		+	-	EcE24377A_2788	hypothetical protein	0	0	1.0
	2780192	2780707		+	-	EcE24377A_2789	surface antigen family protein	0	0	1.0
	2780723	2781262		+	-	EcE24377A_2790	hypothetical protein	0	0	1.0
	2782934	2781357		-	guaA	EcE24377A_2791	GMP synthase	0	58	0.0
	2784469	2783003		-	guaB	EcE24377A_2792	inosine 5'-monophosphate dehydrogenase	0	0	1.0
	2786213	2785998		-	-	EcE24377A_2793	hypothetical protein	0	0	1.0
	2787754	2786282		-	engA	EcE24377A_2795	GTP-binding protein EngA	0	0	1.0
	2789050	2787872		-	-	EcE24377A_2796	outer membrane protein assembly complex subunit YfgL	0	0	1.0
	2789681	2789061		-	-	EcE24377A_2797	hypothetical protein	0	0	1.0
	2790973	2789699		-	hisS	EcE24377A_2798	histidyl-tRNA synthetase	0	0	1.0
	2792202	2791084		-	ispG	EcE24377A_2799	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	0	0	1.0
2793242	2793242	2792229	2792229	-	-	EcE24377A_2800	cytoskeletal protein RodZ	0	689	0.0
2793363			2793265	-	-	predicted RNA	-	0	1000	1.0
2781608			2781707	+	-	predicted RNA	antisense: guaA	0	1000	1.0
2792262			2792421	+	-	predicted RNA	antisense: EcE24377A_2800	0	3731	0.0
2792973			2793072	+	-	predicted RNA	antisense: EcE24377A_2800	0	1000	1.0
	2794681	2793527		-	-	EcE24377A_2801	ribosomal RNA large subunit methyltransferase N	0	0	1.0
	2795262	2794831		-	ndk	EcE24377A_2802	nucleoside diphosphate kinase	0	0	1.0
	2797723	2795411		-	pbpC	EcE24377A_2803	penicillin-binding protein 1C	0	0	1.0
	2802685	2797724		-	-	EcE24377A_2804	alpha-2-macroglobulin	0	20	1.0
	2802892	2803737		+	sseA	EcE24377A_2805	3-mercaptopyruvate sulfurtransferase	0	0	1.0
	2805006	2804230		-	sseB	EcE24377A_2806	enhanced serine sensitivity protein SseB	0	0	1.0
	2806431	2805148		-	pepB	EcE24377A_2807	aminopeptidase	0	0	1.0
	2806809	2806609		-	iscX	EcE24377A_2808	hypothetical protein	0	0	1.0
	2807156	2806821		-	fdx	EcE24377A_2809	(2Fe-2S) ferredoxin	0	0	1.0
	2809008	2807158		-	hscA	EcE24377A_2810	chaperone protein HscA	0	0	1.0
	2809540	2809025		-	hscB	EcE24377A_2811	co-chaperone HscB	0	0	1.0
	2809664	2809548		-	-	EcE24377A_2812	hypothetical protein	0	0	1.0
	2809965	2809636		-	iscA	EcE24377A_2813	iron-sulfur cluster assembly protein	0	0	1.0
	2810362	2809976		-	iscU	EcE24377A_2814	scaffold protein	0	0	1.0
	2811604	2810390		-	iscS	EcE24377A_2815	cysteine desulfurase	0	0	1.0
	2812204	2811716		-	iscR	EcE24377A_2816	DNA-binding transcriptional regulator IscR	0	0	1.0
	2813242	2812505		-	-	EcE24377A_2817	RNA methyltransferase	0	0	1.0
	2813361	2814164		+	suhB	EcE24377A_2818	inositol monophosphatase	0	0	1.0
	2814309	2815163		+	-	EcE24377A_2819	hypothetical protein	0	0	1.0
2815354	2815354	2816634	2816634	+	csiE	EcE24377A_2821	stationary phase inducible protein CsiE	130	0	0.0
2816246			2815946	-	-	predicted RNA	antisense: csiE	414	0	0.0
	2817765	2816626		-	hcaT	EcE24377A_2820	3-phenylpropionic acid transporter	0	87	1.0
2817535			2817634	+	-	predicted RNA	antisense: hcaT	0	1000	1.0
	2818815	2817925		-	hcaR	EcE24377A_2822	DNA-binding transcriptional regulator HcaR	0	0	1.0
2819189			2819326	+	-	predicted RNA	-	0	1449	0.0
2819615			2819460	-	-	predicted RNA	-	0	1282	0.0
	2820309	2820827		+	hcaF	EcE24377A_2824	3-phenylpropionate dioxygenase subunit beta	0	0	1.0
	2820827	2821147		+	hcaC	EcE24377A_2825	3-phenylpropionate dioxygenase ferredoxin subunit	0	0	1.0
	2821144	2821956		+	hcaB	EcE24377A_2826	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase	0	0	1.0
	2821966	2823168		+	hcaD	EcE24377A_2827	phenylpropionate dioxygenase ferredoxin reductase subunit	0	0	1.0
	2823265	2823687		+	-	EcE24377A_2828	hypothetical protein	0	0	1.0
	2824607	2823735		-	-	EcE24377A_2829	aldose 1-epimerase	0	0	1.0
	2825713	2824619		-	-	EcE24377A_2830	zinc-binding dehydrogenase oxidoreductase	0	0	1.0
	2826744	2825746		-	-	EcE24377A_2831	sugar ABC transporter permease	0	0	1.0
	2828280	2826769		-	-	EcE24377A_2832	sugar ABC transporter ATP-binding protein	0	0	1.0
	2829247	2828303		-	-	EcE24377A_2833	sugar ABC transporter periplasmic sugar-binding protein	0	0	1.0
	2832757	2829383		-	-	EcE24377A_2834	hypothetical protein	0	0	1.0
	2832782	2833975		+	-	EcE24377A_2835	ROK family protein	0	0	1.0
	2835292	2834039		-	glyA	EcE24377A_2836	serine hydroxymethyltransferase	0	0	1.0
	2835620	2836810		+	hmp	EcE24377A_2837	nitric oxide dioxygenase	0	0	1.0
	2837193	2836855		-	glnB	EcE24377A_2838	nitrogen regulatory protein P-II 1	0	0	1.0
	2838588	2837254		-	-	EcE24377A_2839	sigma-54 dependent response regulator	0	0	1.0
	2839297	2838578		-	-	EcE24377A_2840	hypothetical protein	0	0	1.0
	2840838	2839456		-	-	EcE24377A_2841	sensor histidine kinase	0	0	1.0
	2845346	2841459		-	purL	EcE24377A_2842	phosphoribosylformylglycinamidine synthase	0	0	1.0
	2845742	2847160		+	-	EcE24377A_2844	transglycosylase	0	0	1.0
	2847693	2847157		-	tadA	EcE24377A_2843	tRNA-specific adenosine deaminase	0	0	1.0
	2848353	2847718		-	yhfB	EcE24377A_2845	hypothetical protein	0	0	1.0
	2848562	2849410		+	-	EcE24377A_2846	DNA-binding transcriptional regulator	0	0	1.0
	2849466	2849726		+	-	EcE24377A_2847	4Fe-4S ferredoxin	0	0	1.0
	2850018	2849920		-	-	EcE24377A_2848	hypothetical protein	0	0	1.0
	2850800	2850420		-	acpS	EcE24377A_2849	4'-phosphopantetheinyl transferase	0	0	1.0
	2851531	2850800		-	pdxJ	EcE24377A_2850	pyridoxine 5'-phosphate synthase	0	0	1.0
